Observe,Shannon,J,Group,study
432,3.93211383320486,0.647962766623067,Normal,Flemer_18
170,2.40315133586345,0.467921661124165,Normal,Flemer_18
651,4.37593743430383,0.675454336873078,Normal,Flemer_18
632,4.40366546007528,0.682856409984661,Normal,Flemer_18
426,4.03792813530241,0.666936755719669,Normal,Flemer_18
502,4.21879223396902,0.678415101914956,Normal,Flemer_18
558,4.49512210313475,0.71076327733336,Normal,Flemer_18
410,3.77683786453981,0.627782447214058,Normal,Flemer_18
541,3.98959143038743,0.633930658934055,Normal,Flemer_18
602,4.36764785875139,0.682417527118808,Normal,Flemer_18
645,4.59539734702695,0.710344649224063,Normal,Flemer_18
620,4.29154658001125,0.667454714730422,Normal,Flemer_18
584,4.61958440281083,0.725220755434685,Normal,Flemer_18
571,4.25217262075496,0.669908915351576,Normal,Flemer_18
517,4.27788152766789,0.684675443749169,Normal,Flemer_18
583,4.43726221670496,0.696785770715997,Normal,Flemer_18
175,2.0192422839638,0.390963399869569,Normal,Flemer_18
619,4.49815272047671,0.699763387446535,Normal,Flemer_18
494,4.1661853494958,0.671690688098574,Normal,Flemer_18
530,4.31395011048594,0.687714760863961,Normal,Flemer_18
616,4.36437475366698,0.679465506844856,Normal,Flemer_18
558,3.92860710623114,0.621186610310921,CRC,Flemer_18
712,4.46423273721842,0.679686324892988,Normal,Flemer_18
429,3.48423074429175,0.574817373264107,Normal,Flemer_18
445,2.9235461195268,0.479421204834563,Normal,Flemer_18
379,2.81933700341661,0.474832810451464,CRC,Flemer_18
537,4.61819728842857,0.734680033145858,CRC,Flemer_18
478,4.17055522266318,0.675983526918399,CRC,Flemer_18
575,4.53364341069818,0.713468586435878,CRC,Flemer_18
358,3.34244002169095,0.568390659387621,CRC,Flemer_18
370,3.83568619939756,0.648631817002613,CRC,Flemer_18
340,3.7452303239419,0.642522776782638,CRC,Flemer_18
626,4.55609768989309,0.707539957810174,CRC,Flemer_18
646,4.59786484463329,0.710555912286502,CRC,Flemer_18
528,3.86529382541425,0.616563161657026,Normal,Flemer_18
719,4.80897642868483,0.731085100028764,Normal,Flemer_18
556,4.36848210367363,0.691131504954427,Normal,Flemer_18
352,3.33944505468312,0.569518265163139,Normal,Flemer_18
509,3.67274935234119,0.589294823252124,Normal,Flemer_18
435,3.77007429243569,0.62055301428816,Normal,Flemer_18
477,3.94392994523466,0.639468082665246,Normal,Flemer_18
602,4.10252816808432,0.640994241738095,Normal,Flemer_18
732,4.47650568839342,0.678692336550312,Normal,Flemer_18
532,4.08894328465154,0.651453805142027,Normal,Flemer_18
614,4.15243289292865,0.646796911742588,Normal,Flemer_18
648,4.23298298521212,0.653854565014081,Normal,Flemer_18
546,3.96971986226545,0.629852427624545,Normal,Flemer_18
589,4.42421839955045,0.69362226232077,Normal,Flemer_18
599,4.21773362858487,0.659509163757704,Normal,Flemer_18
676,4.61243321823115,0.707841705180428,Normal,Flemer_18
515,4.05483624769781,0.649379863191483,Normal,Flemer_18
696,4.53075011678319,0.692209026545986,Normal,Flemer_18
644,4.41827381716314,0.683129193901765,Normal,Flemer_18
570,4.25423794151218,0.67041943464858,Normal,Flemer_18
762,4.90592668826523,0.739295690086762,Normal,Flemer_18
589,4.01666106109598,0.629726039848356,Normal,Flemer_18
549,4.21332891577742,0.667923773676741,Normal,Flemer_18
975,4.98570688092839,0.724410051226451,Normal,Flemer_18
543,3.93171478689739,0.62436819612632,Normal,Flemer_18
478,3.44693457016273,0.558695632450504,Normal,Flemer_18
500,4.4771791762814,0.720428240264755,Normal,Flemer_18
539,4.14995871688565,0.659800696883642,Normal,Flemer_18
276,2.95615480014957,0.525968675683131,Normal,Flemer_18
717,4.71233932396218,0.716697333719641,Normal,Flemer_18
511,4.0467928883296,0.648902030227079,Normal,Flemer_18
375,3.148625859184,0.531240957856982,Normal,Flemer_18
661,4.6004142387607,0.708436807463859,Normal,Flemer_18
448,3.93771071756803,0.645019506419927,Normal,Flemer_18
529,3.94498371790586,0.629084834196836,Normal,Flemer_18
617,4.42464786838572,0.688675185738833,Normal,Flemer_18
438,2.46914121509364,0.40596059620301,Normal,Flemer_18
480,4.05787093022541,0.65727429845047,Normal,Flemer_18
484,4.03789735170929,0.653161095753028,CRC,Flemer_18
501,3.85319696910146,0.619823245424707,CRC,Flemer_18
173,2.08579431529843,0.404749911207325,CRC,Flemer_18
509,4.19979012367643,0.6738588292311,CRC,Flemer_18
539,4.32932327758586,0.688317814816573,CRC,Flemer_18
529,3.99236896377689,0.636641098474139,CRC,Flemer_18
438,3.76140651169187,0.618426690508426,CRC,Flemer_18
536,3.92748282851494,0.624983924252455,CRC,Flemer_18
499,4.18615232769096,0.673815829166066,CRC,Flemer_18
443,4.07443035081114,0.668644243779777,CRC,Flemer_18
492,4.04693106952864,0.652891016429719,CRC,Flemer_18
457,3.74234401897594,0.611026526618473,CRC,Flemer_18
516,4.00275072908223,0.640839306686687,CRC,Flemer_18
364,3.01937351900828,0.512005212476893,CRC,Flemer_18
492,3.69214852358814,0.595653980994471,CRC,Flemer_18
361,3.57080571206309,0.606364359616305,CRC,Flemer_18
630,4.48751901058188,0.696201376467779,CRC,Flemer_18
719,4.41439326673514,0.671098557216254,CRC,Flemer_18
476,3.80170554690237,0.616617662709301,CRC,Flemer_18
749,4.63744711261715,0.700654176598576,CRC,Flemer_18
391,4.02768768313481,0.674800640282113,CRC,Flemer_18
604,4.20315541781472,0.65637646849946,CRC,Flemer_18
595,4.2585236156192,0.666585690468995,CRC,Flemer_18
224,2.76272355392578,0.510514458531292,CRC,Flemer_18
171,2.05875342005617,0.400406093753931,CRC,Flemer_18
461,3.8687933715141,0.63077487298116,CRC,Flemer_18
529,3.99927173296692,0.637741845073346,CRC,Flemer_18
612,4.47311226010722,0.697101275722208,CRC,Flemer_18
343,2.8356444339483,0.485744324718681,CRC,Flemer_18
521,4.04825908889189,0.647126093893169,CRC,Flemer_18
163,2.73747589787047,0.537418559990809,CRC,Flemer_18
512,4.2919502870728,0.68799726610021,CRC,Flemer_18
66,1.21244173360409,0.289389414703338,CRC,Flemer_18
355,2.63947195380408,0.449492337932117,CRC,Flemer_18
694,4.66209988130124,0.71258996743795,CRC,Flemer_18
475,4.22375490064591,0.685305721830231,CRC,Flemer_18
509,3.9019645784441,0.626072542936945,CRC,Flemer_18
654,4.55331557761914,0.702335366480658,CRC,Flemer_18
433,3.14879551520117,0.518684162663908,CRC,Flemer_18
493,4.27350912882882,0.689219063930926,CRC,Flemer_18
629,4.51119417740117,0.700046910545241,CRC,Flemer_18
476,3.40474601413086,0.55223280799924,CRC,Flemer_18
592,4.46564004238516,0.699559082148005,CRC,Flemer_18
662,4.72042090621032,0.72674794672492,CRC,Flemer_18
507,4.34626286417318,0.697801266091887,CRC,Flemer_18
327,3.227299149673,0.557395742702126,CRC,Flemer_18
508,4.04620817593743,0.649421430748344,CRC,Flemer_18
848,4.71938660166077,0.699906591347588,CRC,Flemer_18
415,3.91947025421481,0.650180684429427,CRC,Flemer_18
753,4.2933746550452,0.64814800389144,CRC,Flemer_18
438,3.73833235907243,0.61463298413918,CRC,Flemer_18
689,4.71696013115343,0.72177291327789,CRC,Flemer_18
285,2.74622727059675,0.485843879221053,CRC,Flemer_18
587,4.23750208933889,0.664703622197529,CRC,Flemer_18
523,3.73196153936789,0.596199851506428,CRC,Flemer_18
