Observe,Shannon,J,Group,study
106,3.55670395942117,0.762678334088628,Normal,Hale_17
99,3.54312653761379,0.771062921788649,Normal,Hale_17
100,3.65415705356719,0.793490122186037,Normal,Hale_17
88,3.05814956622724,0.683028704996731,Normal,Hale_17
87,3.42482948024325,0.766883104006857,Normal,Hale_17
94,3.12822600443136,0.688536877826885,Normal,Hale_17
89,3.24824831294012,0.723660382659591,Normal,Hale_17
90,3.13435941009949,0.696553774433186,Normal,Hale_17
65,3.1442114409234,0.753215079874946,Normal,Hale_17
96,3.36709533115829,0.737694669624992,Normal,Hale_17
105,3.88099725508318,0.833912831885604,Normal,Hale_17
67,3.10618197214569,0.738741747213761,CRC,Hale_17
29,1.54094636610031,0.457621321054675,Normal,Hale_17
41,2.41544579830404,0.650437302660908,Normal,Hale_17
90,3.44151208226845,0.764812810852923,Normal,Hale_17
82,3.5974839479609,0.816363318401613,Normal,Hale_17
95,3.46927293580248,0.761828441651866,Normal,Hale_17
64,2.80842210012366,0.675282772761895,Normal,Hale_17
97,3.32810496191256,0.727500595677271,Normal,Hale_17
52,2.4286062686328,0.614643500023005,Normal,Hale_17
48,1.93940870720181,0.50098372617106,Normal,Hale_17
65,3.08450075852404,0.738911020730752,CRC,Hale_17
43,2.09288636178822,0.556441108532269,Normal,Hale_17
90,3.266726654238,0.7259699617469,Normal,Hale_17
93,3.40029370141664,0.750186224605322,Normal,Hale_17
73,2.8770243196767,0.670563225020637,Normal,Hale_17
74,3.26267442879411,0.758044861808818,CRC,Hale_17
46,2.74869925383225,0.717930714627084,Normal,Hale_17
87,3.42043996248156,0.76590020923046,Normal,Hale_17
92,3.33953064769526,0.738541970901847,Normal,Hale_17
92,3.41693663761623,0.755660416092729,Normal,Hale_17
113,3.95493393450614,0.836600271898869,Normal,Hale_17
71,3.20520007878376,0.75192136666112,Normal,Hale_17
46,2.56104340472827,0.668917022909687,Normal,Hale_17
95,3.77287599937358,0.828497583308086,Normal,Hale_17
79,3.21139813386398,0.734966577539265,Normal,Hale_17
105,3.80600060785815,0.81779824525779,Normal,Hale_17
63,3.3207996048986,0.801518614334528,Normal,Hale_17
24,1.87824088302138,0.591003483039097,Normal,Hale_17
